Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Noahkai Banks,us USA,DF,18,6,2,264,0,0,0,1,0,0.1,0.0,Augsburg,de Bundesliga
Scott Banks,sct SCO,"FW,MF",23,11,0,101,0,0,0,1,0,0.3,0.0,St. Pauli,de Bundesliga
Adrian Baquerin,es ESP,FW,18,1,0,3,0,0,0,0,0,0.0,0.0,Valladolid,es La Liga
Antonín Barák,cz CZE,MF,30,1,1,54,0,0,0,0,0,0.1,0.3,Fiorentina,it Serie A
Federico Barba,it ITA,DF,31,7,5,431,0,0,0,0,0,0.2,0.0,Como,it Serie A
Valentín Barco,ar ARG,"DF,FW",20,7,3,288,0,0,0,0,0,0.3,0.6,Sevilla,es La Liga
Bradley Barcola,fr FRA,FW,22,24,21,1614,12,6,12,1,0,11.5,7.8,Paris S-G,fr Ligue 1
Melvin Bard,fr FRA,"DF,MF",24,16,14,1229,1,0,1,4,1,1.5,1.0,Nice,fr Ligue 1
Nicolò Barella,it ITA,MF,28,24,23,1839,3,5,3,3,0,1.9,3.5,Inter,it Serie A
Gabriel Bares,ch SUI,"MF,DF",24,6,0,56,0,0,0,0,0,0.0,0.0,Montpellier,fr Ligue 1
Borna Barišić,hr CRO,DF,32,1,1,9,0,0,0,0,0,0.0,0.0,Leganés,es La Liga
Kike Barja,es ESP,"FW,MF",27,9,3,247,0,0,0,2,0,0.2,0.5,Osasuna,es La Liga
Ross Barkley,eng ENG,MF,31,16,3,554,3,1,3,3,0,1.7,0.6,Aston Villa,eng Premier League
Aymen Barkok,ma MAR,MF,26,4,0,73,0,0,0,0,0,0.0,0.1,Mainz 05,de Bundesliga
Harvey Barnes,eng ENG,FW,27,22,6,825,5,1,5,0,0,3.0,2.4,Newcastle Utd,eng Premier League
Enzo Barrenechea,ar ARG,MF,23,19,16,1308,1,1,1,5,0,1.0,0.4,Valencia,es La Liga
Ander Barrenetxea,es ESP,"MF,FW",23,21,9,875,1,2,1,4,0,1.4,1.2,Real Sociedad,es La Liga
Pablo Barrios,es ESP,MF,21,20,19,1556,0,2,0,4,1,0.9,1.3,Atlético Madrid,es La Liga
Thierno Barry,fr FRA,FW,22,24,17,1556,8,3,7,3,0,9.2,2.2,Villarreal,es La Liga
Davide Bartesaghi,it ITA,DF,19,2,0,50,0,0,0,0,1,0.0,0.1,Milan,it Serie A
Marc Bartra,es ESP,DF,34,15,14,1286,2,0,2,1,0,1.1,0.0,Betis,es La Liga
Federico Baschirotto,it ITA,DF,28,27,27,2430,0,0,0,2,0,0.6,0.1,Lecce,it Serie A
